Hotel,Dirección,mail,Teléfono,Fax,Website
Barceló Maya Palace Deluxe,"Xpu-Há, Q. Roo –",hotels@barcelomaya.com,(984) 875 1500,,http://www.barcelo.com
All Riviera Resort, ,reservaciones@hotelallriviera.com,(984) 879 3444,(984) 879 3444,http://www.hotelallriviera.com/
Ana y José Hotel & Spa,"77710 Playa del Carmen, México",reservations@anayjose.com,(984) 877 2700,(984) 877 2700,http://www.anayjose.com
Banyan Tree Mayakoba,"Playa del Carmen,  ",mayakoba@banyantree.com,(984) 877 3688,(984) 877 3689,http://www.banyantree.com
Azul Beach Resort Riviera Maya,"Puerto Morelos, Quintana Roo,  ",reservations@khrreservations.com,(998) 872 8080,(998) 872 8089,http://www.karismahotels.com
Barceló Maya Caribe,"Xpu-Há, Q. Roo  ",hotels@barcelomaya.com,,,http://www.barcelo.com
Allegro Playacar,77710 Playa Del Carmen México 984) 877 2700  ,playacar@allegrohotels.com,(,(,https://www.barcelo.com/
Barceló Maya Colonial,"Xpu-Há, Q. Roo  ",hotels@barcelomaya.com,(984) 875 1500,,http://www.barcelo.com
Barceló Maya Tropical,"Xpu-Há, Q. Roo  ",hotels@barcelomaya.com,(984) 875 1500,,http://www.barcelo.com
Barceló Maya Tropical Beach,"Xpu-Há, Q. Roo  ext. 7001 a la 7005 / 01 800 BARCELO (227 23 56)",hotels@barcelomaya.com,(984) 875 1500 ,(984) 875 1501,http://www.barcelo.com
Barrio Latino Hotel,Colonia Centro Playa del Carmen  ,info@hotelbarriolatino.com,(984) 873 2384,,http://www.hotelbarriolatino.com
Blue Diamond Riviera Maya,"Playa del Carmen, Q. Roo  ",reservas.bbdiamond@bluebayresorts.com,(984) 206 4100,(984) 206 4100,http://www.bluediamond-rivieramaya.com
Belmond Maroma Resort & Spa,"Riviera Maya, Solidaridad  ",reservaciones.mar@belmond.com,+52 (800) 627 6621,+52 (800) 627 6621,http://www.belmond.com
Blue Bay Grand Esmeralda,Playa del Carmen  ,reserv.bbge@hotetur.com,(984) 877 4500,(984) 877 4512,http://www.bluebayresorts.com
Catalonia Riviera Maya,"Riviera Maya, Q. Roo  ",info@coteliergroup.com,(984) 875 1020 / 21 / 22,(984) 875 1037,http://www.hoteles-catalonia.com
Catalonia Royal Tulúm,"Riviera Maya, Q. Roo  ",royaltuum.reservas@hoteles-catalonia.es,(984) 875 1800,,http://www.hoteles-catalonia.com
Calixta Hotel Boutique,Playa del Carmen  ,info@coteliergroup.com,(984) 859 1557,,http://www.coteliergroup.com
Catalonia Playa Maroma,Mpio Solidaridad CP 77710  ,info@coteliergroup.com,(984) 877 3300,(984) 875 1037,http://www.hoteles-catalonia.com
Catalonia Yucatán Beach,"Puerto Aventuras, Riviera Maya   ",rivieramaya.reservaciones@hoteles-catalonia.es,(984) 875 1020 / 21 /22,(984) 875 1037,http://www.hoteles-catalonia.com
Condo Hotel Riviera Maya,"COLONIA CENTRO, PLAYA DEL CARMEN SOLIDARIDAD  ",hotelcocorio@hotmail.com,984) 803 4657,,http://www.rivieramayasuites.com
Coco Río,"Playa del Carmen, Quintana Roo   ",hotelcocorio@hotmail.com,(984) 879 3361,(984) 879 3362,http://www.hotelcocorio.com
Dorado Maroma,"Solidaridad, Quintana Roo.",sales@eldoradoma.com,(984) 206 3477,,http://www.karismahotels.com/Hotels-Resorts-Villas/Adults-only/El-Dorado-Resorts/El-Dorado-Maroma
El Acuario Hotel,"77710 Playa del Carmen, QROO.",info@elacuariohotel.com,984) 873 2133,(984) 873 2133,http://www.elacuariohotel.com.mx
Dreams Puerto Aventuras,Puerto Aventuras. Quintana Roo México,sales.drepa@dreamsresorts.com,(984) 875 3000,(984) 873 5210,http://www.dreamsresorts.com
El Dorado Casitas Royale,"Riviera Maya, Solidaridad, Quintana Roo  ",sales@eldoradoroyale.com,(998) 872 8030,(998) 803 3544,http://www.karismahotels.com/
El Dorado Generations,"Fracc. IV Lote 15, Fracc. III Predio Muchin, Solidaridad México. 77710",abecerra@eldoradoroyale.com,(998) 872 8030,,http://www.karismahotels.com/
Grand Bahia Principe Tulúm & Akumal,"Akumal, Q. Roo  ",info.tulum@bahia-principe.com,(984) 895 5000,(984) 895 5004,http://www.bahia-principe.com
El Dorado Royale Spa Resort,"Riviera Maya, Solidaridad, Quintana Roo   ",sales@eldoradoroyale.com,(998) 872 8030,(998) 803 3544,http://www.karismahotels.com/
Grand Fifty Suites,  ,reservations@grandfiftysuites.com,(984) 688 8342 / 8306,,http://www.grandfiftysuites.com
El Dorado Seaside Suites,"Kantenah, Puerto Aventuras 77710.  ",infodoradoseaside@eldoradoseasidesuites.com,(998) 875 1919,(998) 875 1918,http://www.karismahotels.com/
Grand Luxxe (Grupo Vidanta), ,valentinodanchev@vidasales.com,(984) 206 4000,,http://www.grandluxxe.com
